              precision  recall  f1-score  support
 butterfly     1.000000   1.000  1.000000   50.000
 cat           0.306748   1.000  0.469484   50.000
 chicken       1.000000   0.980  0.989899   50.000
 cow           1.000000   0.420  0.591549   50.000
 dog           1.000000   0.800  0.888889   50.000
 elephant      1.000000   1.000  1.000000   50.000
 horse         1.000000   1.000  1.000000   50.000
 sheep         1.000000   0.980  0.989899   50.000
 spider        1.000000   0.440  0.611111   50.000
 squirrel      1.000000   0.120  0.214286   50.000
accuracy       0.774000   0.774  0.774000    0.774
macro avg      0.930675   0.774  0.775512  500.000
weighted avg   0.930675   0.774  0.775512  500.000
