              precision  recall  f1-score  support
0              0.769231   0.600  0.674157   50.000
1              0.750000   0.660  0.702128   50.000
2              0.972222   0.700  0.813953   50.000
3              0.434783   1.000  0.606061   50.000
4              1.000000   0.880  0.936170   50.000
5              0.979167   0.940  0.959184   50.000
6              0.954545   0.840  0.893617   50.000
7              0.793103   0.920  0.851852   50.000
8              0.921053   0.700  0.795455   50.000
9              1.000000   0.680  0.809524   50.000
accuracy       0.792000   0.792  0.792000    0.792
macro avg      0.857410   0.792  0.804210  500.000
weighted avg   0.857410   0.792  0.804210  500.000
