#image_name, actual, predicted, score
cow_OIP-YwhTXfa9RcIO2G-e0OWT3QHaFc.jpg, cow, cat, fail
elephant_OIP-Hw7U4YQuRDy1PKX0cLDZwQHaGs.jpg, elephant, elephant, pass
butterfly_OIP-u2i0X4o7rtrbRPOyr0NfUAHaFj.jpg, butterfly, butterfly, pass
sheep_OIP-wUfr56atZrSlV9zrUA8PUgHaFR.jpg, sheep, sheep, pass
spider_OIP-_yUqpEJovWvPJuMF3oWJowHaF3.jpg, spider, spider, pass
squirrel_OIP-R6D2cCi4MrXf-DfG5IRmWQHaEX.jpg, squirrel, cat, fail
chicken_OIP-_QSU2bYtEyAz4YP9DOED6gHaE7.jpg, chicken, chicken, pass
cow_OIP-kVaP8LYe6Nlvrs67JCRhdAHaFK.jpg, cow, cow, pass
elephant_OIP-2KiRXkxEUJmWLKdIZ2qCzgHaHL.jpg, elephant, elephant, pass
sheep_OIP-KRFKOCXK1QXk6RlcjeqjYAHaFo.jpg, sheep, sheep, pass
squirrel_OIP-nLSQCZ6MhPMlYvT2T1_G1AHaFD.jpg, squirrel, cat, fail
butterfly_OIP-NGFXrhlEArtgtYOP9ksHEAHaFj.jpg, butterfly, butterfly, pass
butterfly_OIP-VGj36mpAYCyoYiDVxepu3QHaFF.jpg, butterfly, butterfly, pass
cat_1487.jpg, cat, cat, pass
squirrel_OIP-ZoYZzBjBgliTblAgXK-udwHaFj.jpg, squirrel, squirrel, pass
cow_OIP-jlMughh2HIn8LDBjyfX8bgHaEK.jpg, cow, cat, fail
dog_OIP-5-SGZKQFdCsk48KxF6iczgHaGV.jpg, dog, cat, fail
elephant_OIP-qAOdOiHhwOOT7p8c9hVEOAHaFj.jpg, elephant, elephant, pass
chicken_OIP-gIFlKBqxwsbC9wN8E7-eYQHaE7.jpg, chicken, chicken, pass
butterfly_e832b70e2bf71c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg, butterfly, butterfly, pass
cat_373.jpg, cat, cat, pass
cat_freddie-marriage-40645-unsplash.jpg, cat, cat, pass
sheep_ea36b20e2efc083ed1584d05fb1d4e9fe777ead218ac104497f5c978a6e8b0b1_640.jpg, sheep, sheep, pass
chicken_OIP-2AW-Ey2pmwe-sVfbVAiXZAHaHa.jpg, chicken, cat, fail
sheep_OIP-6-qPaRo0YfGUhEVLpTVw5QAAAA.jpg, sheep, sheep, pass
cow_OIP-FRPreZ5D_EtG3PzeKKiAdQHaFk.jpg, cow, cow, pass
spider_OIP-bAT7c2M3_OkSZyVlXHqtXwHaE8.jpg, spider, cat, fail
horse_OIP-3cmiGMji1-FEXCK0YEzcfAHaE8.jpg, horse, horse, pass
cow_OIP-2m0N5Sp1KaHVJfrCr5RrRAHaFc.jpg, cow, cat, fail
dog_OIP-Ab97v-nnhG6AXLw1cAMgkQHaHa.jpg, dog, dog, pass
elephant_ea36b4092bf0003ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg, elephant, elephant, pass
horse_OIP-Il01X1P2aW2iI9cAPKGViQHaFp.jpg, horse, horse, pass
elephant_OIP-Ykv4UIvJtjedkWi9QPbfGgHaFj.jpg, elephant, elephant, pass
elephant_OIP-VcqwLgUJ3Kmm3I2GjTZy_wAAAA.jpg, elephant, elephant, pass
squirrel_OIP-ODMAbRN3VGq8KMdRcIT_wwHaEX.jpg, squirrel, cat, fail
elephant_ea34b30e2df4093ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg, elephant, elephant, pass
chicken_OIP-QvhpBc8aDmocG5LSaZGhyQHaF7.jpg, chicken, chicken, pass
horse_OIP-gThXFtIIsemMU5QBtktwRgHaFj.jpg, horse, horse, pass
squirrel_OIP-db7e2PXu7ggJqqPyxqfpAwHaGF.jpg, squirrel, cat, fail
cow_OIP-cnQv1a0iU9Ho3Q62Bxv9FgHaIV.jpg, cow, cat, fail
butterfly_OIP-POje7Pavvi0wWXEzXRsLOwHaGL.jpg, butterfly, butterfly, pass
elephant_OIP-O6lLKhvxP-sOdOpUu8Cn7gHaEL.jpg, elephant, elephant, pass
chicken_OIP-n3ZH9JY-QoLP9Slhp0cQoQAAAA.jpg, chicken, chicken, pass
chicken_1096.jpg, chicken, chicken, pass
horse_OIP-6n5DXR4R6tbk2SVjIYhBggHaE6.jpg, horse, horse, pass
cat_1038.jpg, cat, cat, pass
butterfly_OIP-JQidmdrybKE_dMlvWTYFQQHaFY.jpg, butterfly, butterfly, pass
dog_OIP-yVrt8b9H133dZtyxCyjOFwHaFj.jpg, dog, dog, pass
spider_OIP-gU7i_R9hwFMzhO4rW_ClXQHaGL.jpg, spider, spider, pass
cow_OIP-gnPCBS-zzonTLKJg5RFAygAAAA.jpg, cow, cow, pass
dog_OIP-nj_6eSbDiI1jXD7cPD4i7wHaFr.jpg, dog, dog, pass
dog_OIP-xxM7c6-_YFR317AF0A8NmgHaHN.jpg, dog, dog, pass
cow_OIP-KxnNJ8Wzpuo4DOfVIMzyQgHaFl.jpg, cow, cow, pass
squirrel_OIP-4PZHy368pf-BA-aEe1EW7QHaE8.jpg, squirrel, squirrel, pass 
sheep_OIP-0bQE7CBx5OzLUHz7uw7JJQHaFE.jpg, sheep, sheep, pass
cow_OIP-D9b6q2ZgTJBVQSa6GBk9HQHaDj.jpg, cow, cat, fail
spider_OIP-fPBI8pNKStJdwWaIvopiigE1DK.jpg, spider, spider, pass
cat_ea36b5082ff2093ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.jpg, cat, cat, pass
butterfly_OIP-nlGilYQmBES8kHCike8xvAHaFj.jpg, butterfly, butterfly, pass
butterfly_OIP-IvmpwTRRy05FVSdOwZZU1QHaE7.jpg, butterfly, butterfly, pass
spider_OIP-aRvrs6ubgLgwzQrjHT-hSAHaHa.jpg, spider, spider, pass
elephant_e836b30d2df1003ed1584d05fb1d4e9fe777ead218ac104497f5c978a4eebdbd_640.jpg, elephant, elephant, pass
sheep_e830b5082ff6013ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.jpg, sheep, sheep, pass
squirrel_OIP-eFmblYi7WCBALwfqZkuHTQHaFj.jpg, squirrel, cat, fail
horse_OIP-Wf20SqZV2j7tmCIS2wfOJwHaFj.jpg, horse, horse, pass
spider_OIP-Z9fM4yNQ8e2ZV132wybRfQHaGI.jpg, spider, cat, fail
cat_1604.jpg, cat, cat, pass
dog_OIP-qgoh-WlYIKPSHlnkIp94BwHaHu.jpg, dog, dog, pass
chicken_OIP-PYQ2gJnxVIWWLm2N6U2HlwHaMQ.jpg, chicken, chicken, pass
cow_OIP-M7SzU7j_MGnsjevh7Y4xeAHaFY.jpg, cow, cat, fail
squirrel_OIP-0Dq7FVTeEIk_0t8VK7qWOQHaE8.jpg, squirrel, cat, fail
chicken_OIP-RIK6-ULsRDaSfcyFz9EBPAHaKc.jpg, chicken, chicken, pass
cat_e833b80f21f11c22d2524518b7444f92e37fe5d404b0144390f8c079a1e8b6_640.jpg, cat, cat, pass
elephant_OIP-xOtC4Sdr42Afwcts7gG7MwHaEc.jpg, elephant, elephant, pass
dog_OIP-AnhV-qx0tHFgBdTPeCzrqAHaGY.jpg, dog, dog, pass
butterfly_OIP-r7dDc3MwNpvYURlcmAGENgHaHa.jpg, butterfly, butterfly, pass
squirrel_OIP-dT9QLRJ91HKXT0emRfK1EAHaE8.jpg, squirrel, cat, fail
chicken_OIP-YTRdAUfaVbsSu6DB2klLfwHaG_.jpg, chicken, chicken, pass
sheep_OIP-fJ6fgIUsoQKzxKvfrhyk1AHaHD.jpg, sheep, sheep, pass
spider_OIP-EW9_N_-fAIJW_HQaND4WDQHaFj.jpg, spider, spider, pass
spider_OIP-d1FDwU1kyuRXSGeillOeHAHaGU.jpg, spider, cat, fail
dog_OIP-b0AL6Xph5XPdHHlyT0lwGgHaHh.jpg, dog, dog, pass
chicken_10.jpg, chicken, chicken, pass
dog_OIP-b73sEEY3g9wzdr2VlzZGtwHaFG.jpg, dog, dog, pass
elephant_eb31b20629fc053ed1584d05fb1d4e9fe777ead218ac104497f5c978a4eebdbd_640.jpg, elephant, elephant, pass
butterfly_OIP-Lro3d4Ql9f06zJCAhF1SqQHaD4.jpg, butterfly, butterfly, pass
cow_OIP-2NR1yHYYgYGG2KL36kqndAHaKh.jpg, cow, cow, pass
butterfly_OIP-v-ROEEb_beUtO3zfrswACgHaG4.jpg, butterfly, butterfly, pass
elephant_OIP-sqR0uy956EHK8A6sMiaS9wAAAA.jpg, elephant, elephant, pass
dog_OIP-7sFCz4J1Ofbb_2hU7DUXWQHaFD.jpg, dog, dog, pass
