#image_name, actual, predicted, score
Rook_00000051.jpg, rook, king, fail
Queen_00000001.jpg, queen, king, fail
Bishop_00000178.jpg, bishop, king, fail
King_00000032.jpg, king, king, pass
Pawn_00000010.jpg, pawn, king, fail
Knight_00000090.jpg, knight, king, fail
Bishop_00000103.jpg, bishop, king, fail
Knight_00000106.jpg, knight, pawn, fail
Pawn_00000084.jpg, pawn, king, fail
King_00000146.jpg, king, knight, fail
Knight_00000076.jpg, knight, knight, pass 
King_00000128.jpg, king, pawn, fail
Bishop_00000037.jpg, bishop, bishop, pass
Bishop_00000188.jpg, bishop, knight, fail
Queen_00000003.jpg, queen, pawn, fail
Queen_00000051.jpg, queen, queen, pass
Pawn_00000137.jpg, pawn, king, fail
Bishop_00000115.jpg, bishop, king, fail
Rook_00000006.jpg, rook, queen, fail
King_00000014.jpg, king, king, pass
Knight_00000097.jpg, knight, pawn, fail
Knight_00000112.jpg, knight, king, fail
King_00000037.jpg, king, king, pass 
Pawn_00000154.jpg, pawn, pawn, pass
Rook_00000095.jpg, rook, pawn, fail
Pawn_00000171.jpg, pawn, pawn, pass
Queen_00000061.jpg, queen, king, fail
Queen_00000059.jpg, queen, king, fail
Knight_00000041.jpg, knight, pawn, fail
Bishop_00000088.jpg, bishop, king, fail
King_00000044.jpg, king, king, pass 
Queen_00000199.jpg, queen, king, fail
Bishop_00000074.jpg, bishop, pawn, fail
Pawn_00000083.jpg, pawn, king, fail
Knight_00000167.jpg, knight, pawn, fail
Bishop_00000004.jpg, bishop, king, fail
Pawn_00000063.jpg, pawn, king, fail
Bishop_00000020.jpg, bishop, king, fail
Rook_00000065.jpg, rook, king, fail
Pawn_00000109.jpg, pawn, king, fail
Knight_00000186.jpg, knight, knight, pass
King_00000004.jpg, king, rook, fail
Rook_00000010.jpg, rook, king, fail
Rook_00000180.jpg, rook, king, fail
Pawn_00000180.jpg, pawn, king, fail
Knight_00000196.jpg, knight, rook, fail
Rook_00000159.jpg, rook, king, fail
Queen_00000025.jpg, queen, pawn, fail
Knight_00000046.jpg, knight, queen, fail
Queen_00000041.jpg, queen, pawn, fail
Rook_00000164.jpg, rook, king, fail
King_00000025.jpg, king, pawn, fail
King_00000042.jpg, king, king, pass
Knight_00000149.jpg, knight, king, fail
King_00000021.jpg, king, king, pass
Knight_00000190.jpg, knight, pawn, fail
Knight_00000109.jpg, knight, king, fail
Queen_00000022.jpg, queen, queen, pass
Queen_00000094.jpg, queen, pawn, fail
Queen_00000057.jpg, queen, king, fail
Knight_00000036.jpg, knight, king, fail
King_00000137.jpg, king, pawn, fail
Knight_00000142.jpg, knight, king, fail
King_00000134.jpg, king, pawn, fail
Bishop_00000169.jpg, bishop, pawn, fail
King_00000097.jpg, king, pawn, fail
Rook_00000088.jpg, rook, pawn, fail
King_00000072.jpg, king, king, pass
Bishop_00000012.jpg, bishop, queen, fail
Rook_00000053.jpg, rook, pawn, fail
Pawn_00000097.jpg, pawn, king, fail
Pawn_00000000.jpg, pawn, king, fail
Rook_00000160.jpg, rook, king, fail
Queen_00000196.jpg, queen, king, fail
Knight_00000030.jpg, knight, king, fail
Bishop_00000025.jpg, bishop, king, fail
Rook_00000072.jpg, rook, king, fail
Rook_00000071.jpg, rook, king, fail
Queen_00000060.jpg, queen, king, fail
Queen_00000052.jpg, queen, king, fail
Queen_00000011.jpg, queen, king, fail
Rook_00000007.jpg, rook, king, fail
Pawn_00000111.jpg, pawn, pawn, pass
Pawn_00000033.jpg, pawn, pawn, pass
Rook_00000185.jpg, rook, queen, fail
Rook_00000074.jpg, rook, king, fail
Knight_00000133.jpg, knight, king, fail
King_00000058.jpg, king, king, pass 
King_00000086.jpg, king, king, pass
Knight_00000120.jpg, knight, king, fail
Knight_00000162.jpg, knight, pawn, fail
King_00000005.jpg, king, king, pass 
Pawn_00000121.jpg, pawn, king, fail
Queen_00000221.jpg, queen, king, fail
Rook_00000038.jpg, rook, knight, fail
Pawn_00000082.jpg, pawn, queen, fail
Pawn_00000012.jpg, pawn, queen, fail
King_00000012.jpg, king, king, pass 
Bishop_00000120.jpg, bishop, pawn, fail
Queen_00000193.jpg, queen, pawn, fail
King_00000197.jpg, king, king, pass 
Queen_00000037.jpg, queen, king, fail
Bishop_00000039.jpg, bishop, king, fail
Pawn_00000107.jpg, pawn, pawn, pass
Rook_00000079.jpg, rook, queen, fail
Rook_00000061.jpg, rook, bishop, fail
Queen_00000013.jpg, queen, pawn, fail
